Tipo_Ataque,Tasa_Ocurrencia (%),Vector_Infeccion,Nivel_Impacto (1-10),Tiempo_Recuperacion (horas),Costo_Recuperacion (USD)
Ataque DDoS,27,Sitio web comprometido,9,166,25845
Phishing,80,Correo electrónico,7,23,12831
Ransomware,53,Correo electrónico,9,232,34584
Rootkit,28,Sitio web comprometido,9,110,2278
Phishing,88,Correo electrónico,4,44,9460
Adware,71,Correo electrónico,1,10,313
Troyano,66,Sitio web comprometido,6,65,6655
Ataque DDoS,41,Vulnerabilidad de red,10,45,23513
Ataque DDoS,20,Ingeniería social,5,51,10555
Ataque DDoS,59,Vulnerabilidad de red,6,13,3343
Adware,40,Sitio web comprometido,4,17,968
Botnet,24,Vulnerabilidad de red,8,133,13027
Phishing,100,Ingeniería social,4,46,12700
Virus,59,USB,4,74,5400
Ransomware,29,Sitio web comprometido,10,118,9146
Virus,62,USB,5,8,3612
Troyano,61,Correo electrónico,9,13,2426
Phishing,67,Ingeniería social,7,43,13104
Adware,88,Descarga de archivos,1,2,323
Ataque DDoS,15,Ingeniería social,6,143,6784
Virus,34,Descarga de archivos,4,29,683
Botnet,28,Vulnerabilidad de red,5,189,12805
Botnet,16,Sitio web comprometido,8,143,19845
Troyano,58,Sitio web comprometido,8,55,9102
Troyano,35,Descarga de archivos,9,51,10761
Ataque DDoS,55,Sitio web comprometido,10,64,7566
Phishing,89,Ingeniería social,8,10,10959
Spyware,40,Correo electrónico,4,53,1102
Phishing,82,Correo electrónico,5,16,10960
Rootkit,29,Descarga de archivos,8,127,9594
Troyano,54,Sitio web comprometido,7,116,13039
Ransomware,43,Vulnerabilidad de red,10,148,46589
Phishing,55,Ingeniería social,8,87,5010
Ransomware,23,Sitio web comprometido,8,308,5216
Ataque DDoS,25,Vulnerabilidad de red,6,115,2624
Phishing,76,Correo electrónico,4,32,12802
Ransomware,23,Correo electrónico,8,376,14463
Botnet,13,Vulnerabilidad de red,6,25,22584
Phishing,80,Correo electrónico,8,80,1383
Adware,47,Sitio web comprometido,1,6,689
Virus,64,Descarga de archivos,4,15,879
Virus,76,USB,6,35,5561
Troyano,31,Descarga de archivos,8,86,2844
Ransomware,30,Sitio web comprometido,8,142,18743
Ataque DDoS,17,Sitio web comprometido,5,82,20982
Ransomware,40,Correo electrónico,9,430,41048
Virus,79,Correo electrónico,3,60,6992
Phishing,55,Ingeniería social,5,14,4662
Virus,68,Descarga de archivos,3,21,3044
Ataque DDoS,46,Ingeniería social,6,131,7808
Ataque DDoS,17,Ingeniería social,9,78,10907
Adware,78,Correo electrónico,2,16,897
Phishing,80,Correo electrónico,5,37,6236
Adware,57,Correo electrónico,2,17,334
Rootkit,33,Sitio web comprometido,10,161,29138
Adware,32,Descarga de archivos,1,10,259
Ataque DDoS,27,Vulnerabilidad de red,7,26,24984
Spyware,52,USB,6,34,5042
Gusano (Worm),24,Vulnerabilidad de red,7,25,19454
Adware,63,Sitio web comprometido,3,3,1931
Adware,64,Sitio web comprometido,2,12,712
Ataque DDoS,58,Ingeniería social,7,154,7190
Spyware,27,Correo electrónico,7,50,1961
Rootkit,14,Vulnerabilidad de red,7,52,19379
Rootkit,14,Sitio web comprometido,8,45,2260
Botnet,28,Correo electrónico,7,139,3507
Rootkit,24,USB,7,51,18843
Rootkit,12,Vulnerabilidad de red,8,55,9006
Troyano,69,Descarga de archivos,9,108,836
Adware,39,Correo electrónico,4,5,1491
Ataque DDoS,45,Vulnerabilidad de red,9,151,11877
Botnet,16,Vulnerabilidad de red,6,103,23973
Phishing,96,Correo electrónico,8,60,6767
Botnet,37,Vulnerabilidad de red,6,71,4569
Gusano (Worm),26,Vulnerabilidad de red,9,108,4452
Gusano (Worm),46,Correo electrónico,9,120,4904
Virus,71,Descarga de archivos,4,38,2593
Spyware,52,Sitio web comprometido,4,41,5811
Rootkit,35,USB,9,224,6511
Troyano,27,Sitio web comprometido,8,97,5344
Adware,65,Descarga de archivos,2,1,597
Virus,65,USB,4,8,4730
Ataque DDoS,35,Sitio web comprometido,10,139,34999
Adware,36,Descarga de archivos,1,19,1606
Gusano (Worm),22,Vulnerabilidad de red,5,59,2517
Ransomware,34,Correo electrónico,7,40,39144
Adware,85,Descarga de archivos,1,4,1550
Rootkit,9,Descarga de archivos,7,90,15380
Virus,62,Correo electrónico,4,23,6067
Botnet,36,Sitio web comprometido,8,34,849
Phishing,70,Ingeniería social,8,32,9045
Phishing,57,Ingeniería social,6,39,4675
Ataque DDoS,18,Sitio web comprometido,7,102,10132
Phishing,88,Correo electrónico,7,20,7256
Botnet,21,Descarga de archivos,7,121,10371
Troyano,45,Sitio web comprometido,7,28,9682
Adware,59,Sitio web comprometido,4,12,1500
Adware,57,Descarga de archivos,4,15,1979
Ransomware,21,Vulnerabilidad de red,7,119,21329
Ransomware,29,Descarga de archivos,10,287,17061
Ransomware,11,Correo electrónico,10,211,35113
Botnet,20,Sitio web comprometido,9,16,24568
Adware,73,Sitio web comprometido,1,5,779
Ataque DDoS,32,Vulnerabilidad de red,8,84,27214
Spyware,47,Descarga de archivos,3,10,2775
Adware,48,Sitio web comprometido,2,17,1130
Phishing,96,Correo electrónico,8,17,7105
Botnet,25,Correo electrónico,5,120,4002
Botnet,40,Descarga de archivos,6,102,13549
Phishing,77,Correo electrónico,5,77,9587
Botnet,39,Correo electrónico,9,166,23948
Ataque DDoS,23,Sitio web comprometido,10,99,8774
Phishing,91,Sitio web comprometido,4,30,6948
Troyano,65,Descarga de archivos,9,94,6882
Ransomware,35,Correo electrónico,9,354,33141
Gusano (Worm),58,Vulnerabilidad de red,5,93,4717
Ransomware,42,Correo electrónico,10,277,48010
Rootkit,7,Descarga de archivos,10,285,30043
Gusano (Worm),21,USB,6,19,4690
Adware,42,Sitio web comprometido,4,3,159
Virus,46,Descarga de archivos,6,22,4652
Troyano,50,Descarga de archivos,5,26,12198
Spyware,52,Correo electrónico,7,10,3902
Troyano,54,Ingeniería social,6,105,4547
Troyano,70,Sitio web comprometido,5,90,11340
Virus,55,USB,3,51,6517
Ransomware,35,Vulnerabilidad de red,9,487,45944
Phishing,57,Sitio web comprometido,5,76,8698
Troyano,33,Descarga de archivos,9,68,4328
Virus,54,Sitio web comprometido,4,22,7152
Botnet,34,Sitio web comprometido,9,145,7125
Spyware,32,Descarga de archivos,6,11,2514
Botnet,49,Correo electrónico,8,188,16029
Phishing,80,Ingeniería social,8,92,8862
Troyano,33,Descarga de archivos,5,26,1583
Gusano (Worm),64,Correo electrónico,8,69,18493
Phishing,86,Ingeniería social,6,84,8177
Ransomware,46,Descarga de archivos,9,291,16984
Virus,45,Correo electrónico,3,46,3473
Phishing,73,Correo electrónico,7,25,14808
Phishing,89,Correo electrónico,7,31,11832
Adware,73,Descarga de archivos,3,12,609
Ransomware,34,Vulnerabilidad de red,10,350,28676
Troyano,32,Ingeniería social,5,113,14137
Ransomware,35,Sitio web comprometido,9,440,26183
Troyano,45,Descarga de archivos,8,91,13563
Troyano,44,Descarga de archivos,5,104,11909
Virus,83,USB,7,44,3522
Botnet,13,Correo electrónico,7,67,7378
Phishing,75,Ingeniería social,5,22,633
Gusano (Worm),46,Correo electrónico,9,93,11343
Phishing,41,Ingeniería social,6,15,3848
Spyware,48,Correo electrónico,7,45,3243
Gusano (Worm),46,Vulnerabilidad de red,5,95,6613
Botnet,23,Vulnerabilidad de red,8,200,14175
Spyware,30,Sitio web comprometido,7,38,689
Ransomware,27,Correo electrónico,10,264,19656
Gusano (Worm),48,USB,8,17,2332
Adware,39,Correo electrónico,4,4,373
Phishing,81,Sitio web comprometido,7,10,11680
Ataque DDoS,54,Vulnerabilidad de red,6,41,15758
Troyano,61,Descarga de archivos,5,20,9766
Phishing,70,Correo electrónico,8,25,8809
Ataque DDoS,53,Vulnerabilidad de red,6,80,33400
Troyano,39,Ingeniería social,8,106,1805
Rootkit,18,Descarga de archivos,8,39,29153
Spyware,59,Sitio web comprometido,7,30,2524
Spyware,38,USB,6,29,3951
Ataque DDoS,50,Ingeniería social,5,109,28435
Rootkit,30,Descarga de archivos,8,129,32020
Phishing,95,Correo electrónico,6,77,9753
Phishing,83,Correo electrónico,7,15,5686
Ransomware,20,Vulnerabilidad de red,9,337,15984
Gusano (Worm),50,USB,8,142,11042
Botnet,14,Correo electrónico,9,101,16902
Spyware,29,Sitio web comprometido,5,56,1365
Troyano,29,Sitio web comprometido,6,29,17153
Ataque DDoS,59,Vulnerabilidad de red,7,65,30057
Ransomware,20,Vulnerabilidad de red,9,188,30284
Spyware,35,Descarga de archivos,7,55,1550
Rootkit,20,Sitio web comprometido,9,133,10954
Botnet,21,Correo electrónico,8,88,24771
Botnet,42,Correo electrónico,8,59,14505
Gusano (Worm),60,Sitio web comprometido,7,43,17253
Botnet,29,Descarga de archivos,6,147,20687
Gusano (Worm),43,Vulnerabilidad de red,9,107,14403
Troyano,27,Sitio web comprometido,6,89,13980
Troyano,63,Sitio web comprometido,8,74,12616
Rootkit,35,Descarga de archivos,8,68,3915
Rootkit,20,Vulnerabilidad de red,9,255,2777
Adware,46,Sitio web comprometido,4,11,1482
Gusano (Worm),27,Correo electrónico,7,86,17114
Ransomware,37,Sitio web comprometido,8,185,25387
Ransomware,36,Sitio web comprometido,9,123,11712
Adware,61,Sitio web comprometido,4,4,139
Troyano,48,Descarga de archivos,9,52,11431
Rootkit,11,Vulnerabilidad de red,8,192,4867
Spyware,26,Descarga de archivos,4,52,1208
Spyware,37,Descarga de archivos,7,24,5238
Ataque DDoS,38,Ingeniería social,7,48,11697
Ransomware,20,Vulnerabilidad de red,7,363,41320
Phishing,76,Correo electrónico,8,73,8809
Phishing,97,Correo electrónico,8,81,939
Botnet,31,Vulnerabilidad de red,9,165,13085
Ataque DDoS,24,Vulnerabilidad de red,7,90,29087
Ransomware,13,Correo electrónico,8,210,33801
Rootkit,14,Vulnerabilidad de red,7,98,19717
Adware,72,Sitio web comprometido,1,9,1536
Gusano (Worm),60,Vulnerabilidad de red,9,20,4785
Troyano,36,Descarga de archivos,9,100,6492
Rootkit,5,Vulnerabilidad de red,9,44,34495
Phishing,52,Ingeniería social,8,72,5351
Phishing,68,Correo electrónico,4,16,13426
Phishing,46,Correo electrónico,7,66,10721
Ransomware,15,Vulnerabilidad de red,9,202,15251
Spyware,57,Sitio web comprometido,5,56,4949
Gusano (Worm),48,USB,6,95,17839
Troyano,52,Descarga de archivos,5,25,13813
Adware,47,Correo electrónico,4,11,1713
Virus,81,Descarga de archivos,7,66,7088
Rootkit,25,Vulnerabilidad de red,8,208,33734
Adware,45,Descarga de archivos,1,6,774
Ataque DDoS,21,Vulnerabilidad de red,8,15,28115
Troyano,66,Correo electrónico,6,80,15920
Ransomware,46,Sitio web comprometido,8,128,38887
Ransomware,45,Descarga de archivos,8,498,6631
Ataque DDoS,39,Vulnerabilidad de red,9,82,34206
Phishing,81,Correo electrónico,5,61,6053
Ransomware,54,Sitio web comprometido,7,351,46613
Botnet,40,Vulnerabilidad de red,8,45,4246
Gusano (Worm),40,Sitio web comprometido,5,116,11263
Ransomware,32,Vulnerabilidad de red,8,311,5457
Ataque DDoS,33,Ingeniería social,8,37,30071
Gusano (Worm),44,Vulnerabilidad de red,7,105,6927
Ataque DDoS,53,Vulnerabilidad de red,7,109,12612
Adware,56,Descarga de archivos,1,10,1677
Phishing,95,Correo electrónico,4,59,11392
Botnet,42,Correo electrónico,8,139,2185
Troyano,42,Sitio web comprometido,9,53,11451
Botnet,33,Sitio web comprometido,7,145,24281
Ransomware,48,Sitio web comprometido,10,436,26389
Ataque DDoS,30,Ingeniería social,10,50,21365
Botnet,33,Vulnerabilidad de red,5,145,1198
Rootkit,23,Vulnerabilidad de red,9,88,31233
Spyware,28,Sitio web comprometido,6,22,1989
Ataque DDoS,15,Vulnerabilidad de red,8,115,25715
Ransomware,19,Correo electrónico,9,438,24800
Rootkit,15,Vulnerabilidad de red,8,186,12976
Adware,86,Descarga de archivos,4,8,927
Ransomware,32,Correo electrónico,9,499,46464
Adware,50,Descarga de archivos,1,10,1147
Phishing,87,Correo electrónico,4,87,9018
Ransomware,40,Vulnerabilidad de red,7,210,13955
Troyano,62,Sitio web comprometido,9,38,1000
Virus,46,Descarga de archivos,7,17,3875
Rootkit,24,Descarga de archivos,9,52,6412
Troyano,60,Sitio web comprometido,8,36,14203
Adware,52,Correo electrónico,1,18,224
Troyano,41,Correo electrónico,6,97,4052
Phishing,46,Correo electrónico,4,9,13321
Spyware,48,Correo electrónico,5,11,4274
Phishing,83,Ingeniería social,6,100,8417
Spyware,39,Correo electrónico,7,37,1244
Ransomware,25,Descarga de archivos,9,316,28401
Gusano (Worm),47,Vulnerabilidad de red,9,134,16105
Phishing,78,Correo electrónico,4,26,11157
Troyano,66,Descarga de archivos,8,57,10200
Gusano (Worm),47,Vulnerabilidad de red,5,83,16239
Botnet,37,Descarga de archivos,5,188,19793
Ataque DDoS,38,Vulnerabilidad de red,9,130,11103
Spyware,30,Sitio web comprometido,4,5,1800
Ataque DDoS,43,Vulnerabilidad de red,9,132,20954
Phishing,81,Correo electrónico,5,56,7772
Spyware,41,Correo electrónico,3,26,5771
Adware,81,Correo electrónico,1,15,975
Phishing,62,Ingeniería social,6,79,14803
Virus,77,Correo electrónico,6,76,1820
Phishing,79,Ingeniería social,4,92,14717
Adware,65,Sitio web comprometido,1,8,1932
Phishing,52,Ingeniería social,6,95,8253
Ransomware,42,Sitio web comprometido,9,425,24145
Adware,53,Descarga de archivos,3,10,142
Phishing,96,Sitio web comprometido,4,36,11444
Phishing,61,Ingeniería social,6,11,2076
Troyano,61,Ingeniería social,7,32,5613
Phishing,55,Correo electrónico,4,34,2246
Adware,78,Descarga de archivos,1,4,1227
Adware,60,Sitio web comprometido,1,2,1740
Phishing,61,Sitio web comprometido,6,40,5696
Troyano,42,Descarga de archivos,6,96,15926
Ransomware,50,Sitio web comprometido,8,460,20407
Botnet,14,Vulnerabilidad de red,5,79,16300
Virus,37,Sitio web comprometido,7,43,5240
Ransomware,42,Descarga de archivos,8,112,49602
Phishing,96,Correo electrónico,8,94,12028
Gusano (Worm),20,Sitio web comprometido,7,44,16445
Adware,30,Descarga de archivos,1,1,880
Gusano (Worm),43,Sitio web comprometido,9,55,5705
Gusano (Worm),34,Sitio web comprometido,9,83,12942
Troyano,50,Descarga de archivos,7,102,584
Rootkit,23,Descarga de archivos,9,241,31043
Spyware,53,Correo electrónico,3,19,3691
Adware,37,Sitio web comprometido,1,13,497
Spyware,41,USB,4,32,4862
Troyano,42,Ingeniería social,9,47,2587
Phishing,76,Ingeniería social,5,96,2652
Phishing,57,Correo electrónico,5,19,11176
Virus,43,Correo electrónico,5,64,1722
Gusano (Worm),48,USB,7,119,13398
Phishing,65,Correo electrónico,8,23,9795
Virus,76,Sitio web comprometido,7,75,5384
Ransomware,15,Sitio web comprometido,10,186,18783
Spyware,56,Sitio web comprometido,4,40,5819
Ransomware,26,Correo electrónico,10,229,28724
Virus,79,Descarga de archivos,6,57,5731
Phishing,42,Correo electrónico,4,40,11830
Troyano,37,Sitio web comprometido,9,88,17624
Adware,33,Sitio web comprometido,4,10,1688
Phishing,46,Ingeniería social,6,49,4953
Gusano (Worm),45,Vulnerabilidad de red,5,31,7050
Ransomware,24,Correo electrónico,8,129,24666
Virus,50,Correo electrónico,6,70,4781
Adware,64,Sitio web comprometido,3,8,1932
Troyano,53,Sitio web comprometido,6,73,7860
Virus,80,Descarga de archivos,6,12,4024
Virus,53,Correo electrónico,4,37,3167
Ataque DDoS,60,Ingeniería social,8,85,14191
Adware,66,Descarga de archivos,2,6,654
Botnet,45,Vulnerabilidad de red,6,119,22193
Spyware,58,Correo electrónico,3,58,2118
Virus,82,Correo electrónico,6,79,7630
Gusano (Worm),37,Vulnerabilidad de red,8,112,8833
Adware,41,Sitio web comprometido,2,3,1241
Rootkit,6,USB,9,172,22032
Phishing,55,Ingeniería social,5,37,3152
Virus,81,Correo electrónico,5,54,7207
Ataque DDoS,33,Ingeniería social,7,12,12329
Ataque DDoS,25,Vulnerabilidad de red,6,170,28099
Troyano,36,Correo electrónico,8,98,6025
Phishing,59,Correo electrónico,6,17,6343
Botnet,37,Correo electrónico,9,17,4465
Phishing,76,Correo electrónico,5,74,5996
Virus,38,USB,5,44,6119
Phishing,89,Correo electrónico,8,100,4576
Ransomware,23,Correo electrónico,9,181,46148
Phishing,62,Correo electrónico,7,47,13343
Phishing,56,Ingeniería social,6,98,13527
Spyware,54,Sitio web comprometido,7,14,2912
Ransomware,47,Descarga de archivos,9,137,48968
Virus,31,Correo electrónico,4,77,871
Adware,37,Descarga de archivos,2,15,1034
Ataque DDoS,23,Sitio web comprometido,10,43,17362
Adware,57,Sitio web comprometido,4,5,1272
Phishing,58,Sitio web comprometido,4,14,9192
Phishing,44,Correo electrónico,4,11,7622
Botnet,28,Sitio web comprometido,6,121,19288
Phishing,48,Ingeniería social,6,46,7706
Spyware,58,Sitio web comprometido,3,36,3216
Virus,54,Correo electrónico,6,80,5525
Ataque DDoS,50,Sitio web comprometido,6,76,22252
Ransomware,46,Sitio web comprometido,7,272,35393
Phishing,54,Ingeniería social,5,99,2955
Phishing,47,Correo electrónico,5,97,8566
Spyware,21,USB,5,7,1492
Gusano (Worm),22,USB,8,73,18022
Troyano,36,Ingeniería social,9,13,15526
Ransomware,34,Correo electrónico,10,322,28095
Gusano (Worm),63,Correo electrónico,7,95,13386
Virus,63,Sitio web comprometido,5,26,2503
Phishing,66,Ingeniería social,4,36,12887
Botnet,10,Vulnerabilidad de red,7,15,13124
Rootkit,29,Vulnerabilidad de red,8,247,17762
Virus,70,Descarga de archivos,4,11,5700
Rootkit,24,Sitio web comprometido,9,256,35081
Troyano,31,Sitio web comprometido,6,45,6243
Phishing,61,Sitio web comprometido,6,72,3884
Phishing,74,Ingeniería social,7,73,8483
Ataque DDoS,24,Vulnerabilidad de red,10,157,11975
Spyware,29,Sitio web comprometido,6,23,2451
Ransomware,22,Correo electrónico,8,406,37836
Adware,67,Correo electrónico,3,7,397
Adware,73,Descarga de archivos,3,8,1411
Ataque DDoS,56,Sitio web comprometido,5,47,34817
Virus,47,Descarga de archivos,4,16,7126
Phishing,53,Correo electrónico,5,19,13508
Virus,75,Correo electrónico,5,48,2332
Adware,57,Descarga de archivos,2,17,385
Phishing,90,Correo electrónico,8,41,12503
Troyano,26,Sitio web comprometido,5,43,956
Ataque DDoS,44,Vulnerabilidad de red,10,165,25485
Ataque DDoS,54,Ingeniería social,10,68,28755
Adware,35,Sitio web comprometido,4,12,167
Phishing,77,Correo electrónico,5,63,2887
Gusano (Worm),54,USB,9,38,13177
Ransomware,10,Correo electrónico,7,65,14512
Adware,41,Sitio web comprometido,4,11,1707
Ransomware,18,Sitio web comprometido,8,94,30907
Adware,31,Sitio web comprometido,2,3,371
Adware,84,Sitio web comprometido,4,4,652
Ataque DDoS,44,Vulnerabilidad de red,9,30,31425
Gusano (Worm),39,Correo electrónico,8,35,8316
Adware,87,Sitio web comprometido,3,15,1069
Ransomware,22,Vulnerabilidad de red,10,458,17930
Spyware,20,USB,4,25,1266
Gusano (Worm),22,Correo electrónico,7,124,5707
Phishing,78,Correo electrónico,4,45,2941
Adware,30,Sitio web comprometido,3,16,1061
Phishing,73,Ingeniería social,6,68,14792
Virus,83,Correo electrónico,4,24,508
Botnet,34,Sitio web comprometido,7,175,18135
Virus,44,USB,7,41,6475
Virus,42,Sitio web comprometido,4,60,7829
Ataque DDoS,17,Ingeniería social,5,150,6886
Phishing,80,Correo electrónico,7,68,13537
Ransomware,29,Vulnerabilidad de red,8,104,20420
Ataque DDoS,27,Vulnerabilidad de red,8,54,8484
Rootkit,17,Sitio web comprometido,9,67,30136
Ataque DDoS,16,Sitio web comprometido,9,69,21858
Spyware,60,Descarga de archivos,4,25,4355
Phishing,57,Ingeniería social,7,98,6300
Ransomware,43,Correo electrónico,10,453,7093
Adware,59,Sitio web comprometido,3,11,1224
Ataque DDoS,53,Sitio web comprometido,7,135,2276
Spyware,29,Sitio web comprometido,6,15,5298
Ransomware,46,Vulnerabilidad de red,10,377,44375
Ransomware,42,Sitio web comprometido,10,77,35563
Troyano,54,Correo electrónico,9,115,5897
Virus,30,Correo electrónico,6,68,2807
Rootkit,35,Vulnerabilidad de red,9,63,19934
Troyano,30,Sitio web comprometido,6,38,7989
Ransomware,18,Vulnerabilidad de red,7,394,43661
Ataque DDoS,56,Vulnerabilidad de red,8,140,32906
Botnet,28,Descarga de archivos,9,41,8984
Botnet,13,Correo electrónico,7,113,6968
Adware,66,Descarga de archivos,2,10,894
Spyware,22,Correo electrónico,7,45,667
Troyano,55,Descarga de archivos,5,26,16937
Phishing,47,Ingeniería social,5,56,10547
Ataque DDoS,35,Ingeniería social,5,121,27602
Ataque DDoS,40,Sitio web comprometido,5,68,15701
Gusano (Worm),32,Correo electrónico,5,92,12546
Virus,68,Correo electrónico,7,4,4857
Virus,45,Descarga de archivos,3,67,5879
Phishing,100,Correo electrónico,4,68,13577
Botnet,15,Correo electrónico,9,165,11189
Gusano (Worm),50,Vulnerabilidad de red,7,139,19755
Ataque DDoS,19,Ingeniería social,8,116,13742
Spyware,27,Correo electrónico,6,14,2745
Rootkit,34,USB,10,186,30443
Ataque DDoS,58,Vulnerabilidad de red,10,117,29882
Ransomware,15,Correo electrónico,9,111,36040
Spyware,22,Sitio web comprometido,7,19,3124
Troyano,27,Correo electrónico,9,19,7631
Botnet,24,Vulnerabilidad de red,9,120,23765
Troyano,51,Correo electrónico,6,80,7869
Phishing,45,Ingeniería social,8,32,6430
Phishing,48,Correo electrónico,7,60,4077
Virus,74,Correo electrónico,3,40,2963
Phishing,65,Correo electrónico,7,30,5613
Gusano (Worm),62,Vulnerabilidad de red,6,97,10665
Spyware,31,Descarga de archivos,6,29,384
Adware,37,Correo electrónico,3,12,468
Troyano,55,Correo electrónico,6,120,13587
Troyano,60,Correo electrónico,5,31,7737
Phishing,67,Ingeniería social,4,80,12425
Rootkit,6,Descarga de archivos,9,66,16268
Rootkit,8,Vulnerabilidad de red,9,143,31858
Ransomware,10,Correo electrónico,9,267,28587
Phishing,49,Ingeniería social,4,33,693
Troyano,26,Correo electrónico,8,68,12881
Virus,58,Correo electrónico,3,12,365
Botnet,25,Vulnerabilidad de red,9,156,3026
Troyano,25,Sitio web comprometido,8,17,1077
Gusano (Worm),33,Vulnerabilidad de red,7,150,6926
Troyano,40,Correo electrónico,9,79,15068
Ransomware,41,Vulnerabilidad de red,9,151,34906
Ataque DDoS,45,Vulnerabilidad de red,8,103,9093
Spyware,59,Sitio web comprometido,4,6,1420
Phishing,90,Correo electrónico,5,11,334
Adware,71,Descarga de archivos,2,14,693
Troyano,58,Sitio web comprometido,8,89,4905
Gusano (Worm),30,Correo electrónico,6,13,19981
Spyware,32,Sitio web comprometido,6,29,2258
Ransomware,32,Vulnerabilidad de red,7,462,19037
Spyware,55,Descarga de archivos,6,53,5406
Ransomware,11,Descarga de archivos,9,249,29514
Ransomware,46,Vulnerabilidad de red,9,353,42358
Gusano (Worm),65,Vulnerabilidad de red,8,124,9325
Ransomware,32,Vulnerabilidad de red,10,421,41070
Phishing,62,Correo electrónico,5,22,6615
Phishing,75,Correo electrónico,7,12,7424
Adware,79,Descarga de archivos,1,7,455
Adware,42,Descarga de archivos,1,3,756
Virus,49,USB,7,49,6009
Gusano (Worm),27,Vulnerabilidad de red,5,56,1378
Phishing,81,Ingeniería social,5,66,11797
Ataque DDoS,44,Vulnerabilidad de red,8,62,23822
Botnet,33,Vulnerabilidad de red,6,117,9832
Ataque DDoS,25,Ingeniería social,8,128,32009
Ataque DDoS,25,Vulnerabilidad de red,8,91,28729
Phishing,61,Correo electrónico,5,69,12750
Botnet,31,Correo electrónico,5,113,7828
Virus,57,Descarga de archivos,3,56,6923
Phishing,55,Sitio web comprometido,4,87,3365
Gusano (Worm),26,USB,9,83,3860
Virus,69,Sitio web comprometido,3,46,729
Troyano,70,Descarga de archivos,9,90,2925
Rootkit,29,USB,9,161,12614
Adware,33,Sitio web comprometido,3,1,1360
Virus,69,USB,4,32,2436
Virus,54,Descarga de archivos,3,15,3992
Virus,30,USB,7,80,351
Phishing,44,Sitio web comprometido,7,29,8499
Spyware,50,Descarga de archivos,7,5,2792
Adware,78,Descarga de archivos,2,18,782
Troyano,30,Correo electrónico,8,42,2791
Spyware,49,Descarga de archivos,6,45,3701
Adware,30,Sitio web comprometido,1,13,1709
Phishing,88,Correo electrónico,5,74,13057
Ransomware,34,Vulnerabilidad de red,8,408,22355
Virus,50,Correo electrónico,3,69,2275
Botnet,24,Vulnerabilidad de red,5,94,19345
Adware,35,Sitio web comprometido,1,20,1031
Adware,89,Descarga de archivos,1,8,1414
Troyano,52,Descarga de archivos,9,51,1762
Ataque DDoS,20,Vulnerabilidad de red,9,33,31719
Ransomware,47,Correo electrónico,9,262,40134
Troyano,45,Correo electrónico,6,113,12773
Adware,36,Descarga de archivos,1,16,1491
Phishing,48,Correo electrónico,4,82,5309
Botnet,44,Correo electrónico,5,149,1908
Virus,66,Correo electrónico,3,29,1824
Virus,57,USB,7,78,7109
Adware,71,Correo electrónico,3,11,1970
Ataque DDoS,34,Vulnerabilidad de red,8,47,18182
Troyano,53,Descarga de archivos,6,82,9530
Virus,73,Descarga de archivos,3,54,5736
Gusano (Worm),43,Sitio web comprometido,5,81,9288
Phishing,94,Correo electrónico,7,28,2148
Rootkit,27,Sitio web comprometido,7,188,38768
Adware,55,Descarga de archivos,3,2,1792
Virus,55,Sitio web comprometido,3,18,2186
Gusano (Worm),43,Sitio web comprometido,6,131,11617
Ransomware,10,Correo electrónico,7,427,43378
Phishing,77,Ingeniería social,8,97,4023
Adware,75,Descarga de archivos,4,19,919
Phishing,53,Ingeniería social,7,24,13868
Rootkit,13,Descarga de archivos,10,284,7742
Botnet,35,Sitio web comprometido,9,119,12335
Ransomware,32,Vulnerabilidad de red,8,183,49455
Virus,51,Correo electrónico,4,44,571
Adware,81,Sitio web comprometido,1,16,292
Phishing,85,Ingeniería social,4,15,11144
Ransomware,28,Correo electrónico,10,195,33531
Ataque DDoS,25,Ingeniería social,10,31,34964
Adware,42,Descarga de archivos,3,2,1431
Ataque DDoS,43,Ingeniería social,7,115,16134
Ataque DDoS,56,Sitio web comprometido,5,18,23154
Botnet,26,Descarga de archivos,7,58,12964
Gusano (Worm),43,Vulnerabilidad de red,8,52,19383
Adware,58,Sitio web comprometido,1,17,1412
Adware,51,Correo electrónico,1,5,1319
Troyano,56,Descarga de archivos,7,17,7797
Ransomware,14,Correo electrónico,8,460,33046
Ransomware,27,Correo electrónico,7,153,6574
Ransomware,33,Vulnerabilidad de red,7,242,35406
Adware,89,Correo electrónico,1,14,209
Spyware,40,Correo electrónico,6,33,4004
Ransomware,45,Sitio web comprometido,8,356,43994
Adware,41,Correo electrónico,1,10,1046
Gusano (Worm),55,USB,9,54,4728
Ransomware,16,Descarga de archivos,8,252,38806
Virus,40,Descarga de archivos,7,22,1564
Spyware,25,Descarga de archivos,4,27,825
Phishing,87,Correo electrónico,6,7,6432
Phishing,73,Correo electrónico,7,56,6263
Phishing,88,Correo electrónico,4,83,11980
Phishing,74,Correo electrónico,8,91,6079
Botnet,14,Sitio web comprometido,9,173,12036
Troyano,25,Sitio web comprometido,5,84,3425
Ransomware,54,Correo electrónico,7,333,26760
Botnet,39,Correo electrónico,9,121,2293
Spyware,25,Sitio web comprometido,7,4,2363
Ransomware,40,Vulnerabilidad de red,9,255,6291
Gusano (Worm),61,Vulnerabilidad de red,7,58,16111
Adware,57,Descarga de archivos,2,14,627
Troyano,39,Descarga de archivos,7,91,16003
Ransomware,44,Descarga de archivos,9,499,31553
Troyano,39,Ingeniería social,7,53,8544
Virus,76,Descarga de archivos,7,44,1638
